Name,Authors,Publisher,Rating,CountsOfReview,pagesNumber,PublishYear,combine_feat
"Fullmetal Alchemist, Vol. 1 Fullmetal Alchemist, 1",Hiromu Arakawa,VIZ Media LLC,2.2226566167311232,-0.3797045497063358,-0.9530259606833834,0.1450024346026958,fullmetal alchemist vol 1 fullmetal alchemist 1 hiromu arakawa viz media llc
Pompeii,Robert Harris,Random House Trade Paperbacks,-0.5767283870680333,-0.3385475837358427,-0.4987369119712537,0.1450024346026958,pompeii robert harris random house trade paperbacks
Of Mice and Men,John Steinbeck,Penguin Books,-0.3708912544357414,3.01783079991866,-1.4460957818465483,-1.214251156607032,of mice and men john steinbeck penguin books
The Game Penetrating the Secret Society of Pickup Artists,Neil Strauss,It Books,-0.9060677992796972,-0.3574575410736368,0.5538840545568515,0.1450024346026958,the game penetrating the secret society of pickup artists neil strauss it books
The Westing Game,Ellen Raskin,Puffin,0.246620143461129,0.6590917096367516,-1.0084270641848625,-0.3080820958005468,the westing game ellen raskin puffin
The Egypt Game,Zilpha Keatley Snyder,Turtleback Books,-0.5355609605415742,-0.4221129099124182,-0.8256034226299812,1.9573405562156665,the egypt game zilpha keatley snyder turtleback books
Memoirs of a Geisha,Arthur Golden,Vintage Books USA,0.6171269821992557,-0.0384910548023154,0.7699483582126205,0.1450024346026958,memoirs of a geisha arthur golden vintage books usa
"Angels Demons Robert Langdon, 1",Dan Brown,Pocket Books,-0.2473889748563676,2.4032571864403507,2.0607940697970863,0.5980869650059385,angels demons robert langdon 1 dan brown pocket books
"The Da Vinci Code Robert Langdon, 2",Dan Brown,Anchor,-0.4943935340151169,4.436633775469036,0.6923868133105496,0.5980869650059385,the da vinci code robert langdon 2 dan brown anchor
Think and Grow Rich The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,Tarcherperigee,0.9052989678844604,-0.2560946079909021,-0.2438918358644493,0.1450024346026958,think and grow rich the landmark bestseller now revised and updated for the 21st century napoleon hill tarcherperigee
The Richest Man in Babylon,George S. Clason,Berkley Books,1.234638380096126,-0.0866002109705269,-0.9419457399830876,1.5042560258124238,the richest man in babylon george s clason berkley books
1776,David McCullough,Simon Schuster,0.4524572760934228,0.2934065052367623,0.1217554472453135,0.5980869650059385,1776 david mccullough simon schuster
"The Good Earth House of Earth, 1",Pearl S. Buck,Howard Publishing Co,0.081950437355298,0.4927953201073268,0.2990389784500471,1.9573405562156665,the good earth house of earth 1 pearl s buck howard publishing co
Fast Food Nation The Dark Side of the All-American Meal,Eric Schlosser,Harper Perennial,-0.9060677992796972,0.1061145013102278,0.1937768817972366,0.1450024346026958,fast food nation the dark side of the allamerican meal eric schlosser harper perennial
Snow Flower and the Secret Fan,Lisa See,Random House,0.4524572760934228,1.5000286359527726,-0.5264374637219933,0.5980869650059385,snow flower and the secret fan lisa see random house
The Broker,John Grisham,Delta,-0.7413980931738662,-0.2535918195197235,0.3211994198506388,0.5980869650059385,the broker john grisham delta
Freakonomics A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,William Morrow,0.0407830108288407,1.250445007854681,-0.2438918358644493,0.5980869650059385,freakonomics a rogue economist explores the hidden side of everything steven d levitt william morrow
A Million Little Pieces,James Frey,Anchor Books,-1.276574638017822,0.9302271273477702,0.8364296824143956,0.1450024346026958,a million little pieces james frey anchor books
"Men Are from Mars, Women Are from Venus",John Gray,Harper Paperbacks,-1.6882489032824042,-0.11343566513372,0.0220334609426509,3.3165941474253944,men are from mars women are from venus john gray harper paperbacks
"The Clan of the Cave Bear Earth's Children, 1",Jean M. Auel,Bantam,0.3701224230405046,0.0379830373725872,0.8198093513639518,-1.214251156607032,the clan of the cave bear earths children 1 jean m auel bantam
Moneyball The Art of Winning an Unfair Game,Michael Lewis,W. W. Norton Company,1.234638380096126,0.0019706921484058,-0.260512166914893,-0.3080820958005468,moneyball the art of winning an unfair game michael lewis w w norton company
Gates of Fire,Steven Pressfield,Bantam,1.8933172045194573,-0.3523129203273252,0.1549961093462011,0.1450024346026958,gates of fire steven pressfield bantam
The War of Art Break Through the Blocks Win Your Inner Creative Battles,Steven Pressfield,Warner Books,0.1642852904082144,0.080530441382624,-1.0859886090869335,-0.7611666262037894,the war of art break through the blocks win your inner creative battles steven pressfield warner books
The Odyssey,Homer,Penguin Classics,-0.8237329462267826,0.3433232308563806,0.9804725515182416,0.5980869650059385,the odyssey homer penguin classics
Hamlet,William Shakespeare,Cambridge University Press,0.246620143461129,0.4394024993888493,-0.4156352567190349,0.1450024346026958,hamlet william shakespeare cambridge university press
The Zahir,Paulo Coelho,HarperOne,-1.605914050229486,-0.2184137371192683,-0.1552500702620825,0.5980869650059385,the zahir paulo coelho harperone
By the River Piedra I Sat Down and Wept,Paulo Coelho,HarperOne,-1.605914050229486,-0.2013113492328809,-0.8643841950810166,0.5980869650059385,by the river piedra i sat down and wept paulo coelho harperone
Veronika Decides to Die,Paulo Coelho,Harper Perennial,-1.0295700788590727,0.189540783682849,-0.8533039743807208,0.5980869650059385,veronika decides to die paulo coelho harper perennial
"Oedipus Rex The Theban Plays, 1",Sophocles,Prestwick House - Literary Touchstone Classic,-1.07073750538553,-0.3311782621262611,-1.6012188716506903,0.5980869650059385,oedipus rex the theban plays 1 sophocles prestwick house  literary touchstone classic
Night The Night Trilogy 1,Elie Wiesel,Hill Wang,1.5228103657813346,3.014910880035618,-1.3796144576447733,0.5980869650059385,night the night trilogy 1 elie wiesel hill wang
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage,-0.3297238279092841,4.408129795658391,-0.764662208778354,-0.3080820958005468,the curious incident of the dog in the nighttime mark haddon vintage
Twelfth Night,William Shakespeare,Simon Schuster,0.081950437355298,-0.226617321552576,-0.5098171326715496,-0.3080820958005468,twelfth night william shakespeare simon schuster
Brokeback Mountain,Annie Proulx,Scribner,-0.0827192687505348,-0.3332639191855767,-1.7120210786536487,0.1450024346026958,brokeback mountain annie proulx scribner
Getting Things Done The Art of Stress-Free Productivity,David Allen,Penguin Books,0.1231178638817571,-0.0382129671944066,-0.5375176844222892,-1.214251156607032,getting things done the art of stressfree productivity david allen penguin books
Wild at Heart Discovering the Secret of a Man's Soul,John Eldredge,Thomas Nelson,-0.1650541218034512,-0.3712228776651193,-0.5984588982739163,-1.667335687010275,wild at heart discovering the secret of a mans soul john eldredge thomas nelson
Wild Swans Three Daughters of China,Jung Chang,Simon Schuster,1.234638380096126,0.0218539561138805,1.096814868871348,-0.7611666262037894,wild swans three daughters of china jung chang simon schuster
The Call of the Wild,Jack London,Scholastic,-0.3708912544357414,0.4691578734350841,-1.063828167686342,-1.667335687010275,the call of the wild jack london scholastic
